parent,child,ownership,owner_type,color
Ubs Group Ag,Dz Bank Ag Deutsche Zentral Genossenschafts Bank Frankfurt Am Main,0.0042,Institution,#b84757
Ubs Group Ag,Amundi Asset Management Us Inc,0.0039,Institution,#3656c9
Ubs Group Ag,Dekabank Deutsche Girozentrale,0.0034,Institution,#b84757
Ubs Group Ag,Bank Of America Corp,0.0023,Institution,#ff2f00
Ubs Group Ag,Russell Investments Group Ltd,0.0022,Institution,#6332cd
Ubs Group Ag,Bank Of New York Mellon,0.0022,Institution,#fb02ff
Ubs Group Ag,Bank Of Montreal,0.0020,Institution,#30cf4d
Ubs Group Ag,Gqg Partners LLC,0.0019,Institution,#ee1184
Ubs Group Ag,Ameriprise Financial Inc,0.0019,Institution,#ffcc00
Ubs Group Ag,Dodge Cox,0.0194,Institution,#ebb3ff
Ubs Group Ag,Vanguard Group Inc,0.0164,Institution,#651c9c
Ubs Group Ag,Fidelity Investments,0.0360,Institution,#244513
Ubs Group Ag,Insider,0.0005,Insider,#797979
Ubs Group Ag,Retail,0.4544,Retail,#ffffff
Ubs Group Ag,Other Institution,0.1735,Institution,#000000
Netflix,Vanguard Group Inc,0.0751,Institution,#651c9c
Netflix,Blackrock Inc,0.0651,Institution,#0b0bff
Netflix,Capital Research Global Investors,0.0645,Institution,#8502ff
Netflix,Price T Rowe Associates Inc,0.0441,Institution,#af03ff
Netflix,Fmr LLC,0.0439,Institution,#c8ff00
Netflix,Capital International Investors,0.0382,Institution,#8502ff
Netflix,State Street Corp,0.0358,Institution,#05e2ff
Netflix,Capital World Investors,0.0305,Institution,#8502ff
Netflix,Baillie Gifford Co,0.0185,Institution,#1de288
Netflix,Jennison Associates LLC,0.0165,Institution,#a716e9
Netflix,Geode Capital Management LLC,0.0153,Institution,#76bf3d
Netflix,Sands Capital Management LLC,0.0118,Institution,#fabd05
Netflix,Magellan Asset Management Ltd,0.0117,Institution,#649b74
Netflix,Northern Trust Corp,0.0108,Institution,#ffb300
Netflix,Jpmorgan Chase Co,0.0093,Institution,#42649e
Netflix,Morgan Stanley,0.0091,Institution,#ff1097
Netflix,Fisher Asset Management LLC,0.0087,Institution,#1e36e1
Netflix,Edgewood Management LLC,0.0086,Institution,#aac738
Netflix,Iv Lp Tcv,0.0086,Insider,#2aa5d5
Netflix,Bank Of New York Mellon,0.0081,Institution,#fb02ff
Netflix,Janus Henderson Group PLC,0.0074,Institution,#5098af
Netflix,Vanguard Group Inc,0.0484,Institution,#651c9c
Netflix,Fidelity Investments,0.0226,Institution,#294a20
Netflix,Price T Rowe Associates Inc,0.0102,Institution,#af03ff
Netflix,Insider,0.0602,Insider,#797979
Netflix,Retail,0.1323,Retail,#ffffff
Netflix,Other Institution,0.1847,Institution,#000000
Money Inc,Money Inc,0.3333,Institution,#ff0000
Money Inc,Fat Money,0.3333,Institution,#00ff00
Money Inc,Money Castle,0.3334,Institution,#0000ff
Money Inc,Self,1E-09,Self,#ff0000
Fat Money,Money Inc,0.3333,Institution,#ff0000
Fat Money,Fat Money,0.3333,Institution,#00ff00
Fat Money,Money Castle,0.3334,Institution,#0000ff
Fat Money,Self,1E-09,Self,#00ff00
Money Castle,Money Inc,0.3333,Institution,#ff0000
Money Castle,Fat Money,0.3333,Institution,#00ff00
Money Castle,Money Castle,0.3334,Institution,#0000ff
Money Castle,Self,1E-09,Self,#0000ff
HinkeyPoo,Retail,0.2000,Retail,#ffffff
HinkeyPoo,The Grand Christmas Poobah,0.2000,Insider,#797979
HinkeyPoo,Money Inc,0.2000,Institution,#ff0000
HinkeyPoo,Fat Money,0.2000,Institution,#00ff00
HinkeyPoo,Money Castle,0.2000,Institution,#0000ff
The Grand Christmas Poobah,The Grand Christmas Poobah,1,Insider,#797979
